patent_num,abstract,applicant_city,applicant_country,applicant_name,applicant_num,applicant_state,assignee_loc,assignee_name,cpc,family_id,file_date,inventors,patent_date,title,url
10348394,"A wireless communication network and wireless communication method are disclosed. The network has a plurality of transceivers forming a wireless communication network in which the plurality of transceivers include one or more central nodes and each end node capable of connecting to the one or more central nodes and forming a link. At least some of the transceivers of the network having a plurality of antennas and an array processing element coupled to the plurality of antennas and at least some of the transceivers are housed in an aerial communication node that may be a mini-satellite, a balloon or a drone.",Santa Clara,US,"Tarana Wireless, Inc.","14/968,700",CA,"Santa Clara, CA","TARANA WIRELESS, INC.","['H04B', 'H04W', 'H04L']",1000001751544,"December 14, 2015","[['Omar', 'Bakr', 'Santa Clara, CA'], ['Dale', 'Branlund', 'Santa Clara, CA']]","July 9, 2019",System architecture and method for enhancing wireless networks with mini-satellites and pseudollites and adaptive antenna processing,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=13&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10348341,"Systems and methods for providing indications about the TX RF non-linear impairments are disclosed. In accordance with some implementations, a first device (UE or base station) estimates EVM indications for the signal and determines if the EVM indications is above a threshold. The first device may transmit the estimated TX non-linearity indications math as AM-AM, AM-PM, Volterra coefficients, and/or other performance metrics to a second device, that transmitted the signal, when it is determined that the EVM indications is above the threshold. Systems and methods for wireless communication impairment correction are also disclosed wherein, in accordance with some implementations, a first device receives estimated TX non-linearity indications such as AM-AM, AM-PM, and/or Volterra coefficients from a second device and performs non-linear correction of a transmit signal for the second receiver device based at least in part on the EVM indications. Other aspects, embodiments, and features are also claimed and described.",San Diego,US,QUALCOMM Incorporated,"15/940,258",CA,"San Diego, CA",QUALCOMM Incorporated,"['H04B', 'H04L']",1000004138049,"March 29, 2018","[['Haim Mendel', 'Weissman', 'Haifa, IL'], ['Igor', 'Gutman', 'Ramat Gan, IL'], ['Joseph Patrick', 'Burke', 'Glenview, IL'], ['Vijay', 'Chellappa', 'Seattle, WA'], ['Sumit', 'Verma', 'San Diego, CA'], ['Paul', 'Draxler', 'San Diego, CA']]","July 9, 2019",Over the air acquisition of radio frequency impairment information,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=14&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10348329,"Aspects of the present disclosure relate to low density parity check (LDPC) coding utilizing a configurable circular buffer for rate matched transmissions. The circular buffer may be configured based on a selected mother code rate and a fixed circular buffer length. For example, the respective sizes of the systematic and parity bit sections of the circular buffer may be variable based on the selected mother code rate.",San Diego,US,QUALCOMM Incorporated,"15/894,197",CA,"San Diego, CA",QUALCOMM Incorporated,"['H03M', 'H04L']",1000004138037,"February 12, 2018","[['Joseph Binamira', 'Soriaga', 'San Diego, CA'], ['Shrinivas', 'Kudekar', 'Raritan, NJ'], ['Thomas Joseph', 'Richardson', 'South Orange, NJ'], ['Jing', 'Jiang', 'San Diego, CA'], ['Renqiu', 'Wang', 'San Diego, CA']]","July 9, 2019",Low density parity check (LDPC) circular buffer rate matching,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=15&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10348108,A charging device for one or more input modules for a touch-screen device is described. The charging device comprises a charging mechanism and portions which are shaped to receive an input module. The charging mechanism comprises a power input and a power output. The power input is configured to receive power from an external power source and the power input is configured to provide power to one or more input modules which are attached to the charging device.,Redmond,US,"Microsoft Technology Licensing, LLC","15/621,229",WA,"Redmond, WA","Microsoft Technology Licensing, LLC","['H02J', 'A63F', 'G06F']",1000004137845,"June 13, 2017","[['Stephen E.', 'Hodges', 'Cambridge, GB'], ['Stuart', 'Taylor', 'Cambridge, GB'], ['John Franciscus Marie', 'Helmes', 'Steyl, NL']]","July 9, 2019",Charging device for removable input modules,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=16&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347985,"An electronic device is provided that includes a circuit board received in the electronic device and in which at least one board is layered, a communication module disposed at one surface of the circuit board and electrically connected to the circuit board, an antenna electrically connected to the communication module, and a metal structure whose one surface is separated from the other surface of the circuit board to form a space within the electronic device by enclosing the circuit board and in which at least one aperture is formed at one side thereof.","Suwon-si, Gyeonggi-do",KR,"Samsung Electronics Co., Ltd.","15/685,363",N/A,"Suwon-si, KR","Samsung Electronics Co., Ltd.","['H01Q', 'H01P']",1000004137737,"August 24, 2017","[['Hyunjin', 'Kim', 'Seoul, KR'], ['Kwanghyun', 'Baek', 'Hwaseong-si, KR'], ['Byungchul', 'Kim', 'Yongin-si, KR'], ['Jungmin', 'Park', 'Seoul, KR'], ['Youngju', 'Lee', 'Seoul, KR'], ['Sungchul', 'Park', 'Seoul, KR']]","July 9, 2019",Antenna device and electronic device including the same,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=17&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347579,"Aspects for reducing tip-to-tip distance between end portions of metal lines formed in an interconnect layer of an integrated circuit (IC) are provided. In one aspect, a method includes exposing a photoresist layer disposed over a hardmask layer to a light to form a metal line pattern on the photoresist layer. The metal line pattern includes metal line templates corresponding to tracks substantially parallel to an axis. The sections of the photoresist layer corresponding to the metal line pattern are removed to expose the hardmask layer according to the metal line pattern. The exposed portions of the hardmask layer are etched such that trenches are formed corresponding to the metal line pattern. The hardmask layer is directionally etched such that at least one trench is extended in a first direction along the axis. This allows the trenches to be spaced with a reduced pitch and reduced tip-to-tip distance.",San Diego,US,QUALCOMM Incorporated,"15/825,231",CA,"San Diego, CA",QUALCOMM Incorporated,['H01L'],1000004137360,"November 29, 2017","[['Jeffrey Junhao', 'Xu', 'San Diego, CA']]","July 9, 2019",Reducing tip-to-tip distance between end portions of metal lines formed in an interconnect layer of an integrated circuit (IC),http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=18&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347565,"A multi-chip package of power semiconductor includes a lead frame, a first segment group, a second segment group, a first power semiconductor chip and a second power semiconductor chip. The lead frame includes a first segment group having a first gate segment, a first source segment, and a first drain segment that are separated from each other. The second segment group has a second gate segment, a second source segment, and a second drain segment that are separated from each other. The first power semiconductor chip is formed on the first segment group. The second power semiconductor chip is formed on the second segment group. The first source segment is physically connected to the second drain segment.",Cheongju-si,KR,"MagnaChip Semiconductor, Ltd.","15/859,988",N/A,"Cheongju-si, KR","MagnaChip Semiconductor, Ltd.",['H01L'],1000004137347,"January 2, 2018","[['Si Hyeon', 'Go', 'Cheongju-si, KR'], ['Jae Sik', 'Choi', 'Cheongju-si, KR'], ['Myung Ho', 'Park', 'Cheongju-si, KR'], ['Dong Seong', 'Oh', 'Incheon, KR'], ['Beom Su', 'Kim', 'Cheongju-si, KR']]","July 9, 2019",Multi-chip package of power semiconductor,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=19&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347344,"Devices and techniques for read voltage calibration of a flash-based storage system based on host IO operations are disclosed. In an example, a memory device includes a NAND memory array having groups of multiple blocks of memory cells, and a memory controller to optimize voltage calibration for reads of the memory array. In an example, the optimization technique includes monitoring read operations occurring to a respective block, identifying a condition to trigger a read level calibration based on the read operations, and performing the read level calibration for the respective block or a memory component that includes the respective block. In a further example, the calibration is performed based on a threshold voltage to read the respective block, which may be considered when the threshold voltage to read the respective block is evaluated within a sampling operation performed by the read level calibration.",Boise,US,"Micron Technology, Inc.","15/689,747",ID,"Boise, ID","Micron Technology, Inc.",['G11C'],1000004137155,"August 29, 2017","[['Ashutosh', 'Malshe', 'Fremont, CA'], ['Kishore Kumar', 'Muchherla', 'Fremont, CA'], ['Harish', 'Singidi', 'Fremont, CA'], ['Peter Sean', 'Feeley', 'Boise, ID'], ['Sampath', 'Ratnam', 'Boise, ID'], ['Kulachet', 'Tanpairoj', 'Santa Clara, CA'], ['Ting', 'Luo', 'Santa Clara, CA']]","July 9, 2019",Read voltage calibration based on host IO operations,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=20&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347329,"Devices and techniques to reduce corruption of preloaded data during assembly are disclosed herein. A memory device can perform operations to store received data, including preloaded data, up to a threshold amount on a memory array in a reflow-protection mode, and to transition from the reflow-protection mode to a normal-operation mode after the initial data exceeds the threshold amount.",Boise,US,"Micron Technology, Inc.","15/689,989",ID,"Boise, ID","Micron Technology, Inc.",['G11C'],1000004137141,"August 29, 2017","[['Sebastien Andre', 'Jean', 'Meridian, ID'], ['Ting', 'Luo', 'Santa Clara, CA']]","July 9, 2019",Reflow protection,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=21&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347290,"Various embodiments for creating media clips are disclosed. In one example, a method is performed by a server for managing the creation and distribution of media clips, where the server associates a content capture device with an event, the content capture device for recording at least a portion of the event, receives a tag notification from a content tagging device via a network interface, generates a media clip creation command to the content capture device via the network interface, sends the media clip creation command to the content capture device, and receives a media clip created by the content capture device in response to receiving the media clip creation command.",San Diego,US,Clipcast Technologies LLC,"15/713,664",CA,"San Diego, CA",Clipcast Technologies LLC,"['G11B', 'H04M', 'H04N', 'G06F', 'H04W', 'H04L']",1000004137110,"September 24, 2017","[['Manuel', 'Jaime', 'San Diego, CA'], ['Oliver', 'Michaelis', 'San Diego, CA']]","July 9, 2019","Media clip creation and distribution systems, apparatus, and methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=22&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347265,"Background noise estimators and methods are disclosed for estimating background noise in an audio signal. Some methods include obtaining at least one parameter associated with an audio signal segment, such as a frame or part of a frame, based on a first linear prediction gain, calculated as a quotient between a residual signal from a 0th-order linear prediction and a residual signal from a 2nd-order linear prediction for the audio signal segment. A second linear prediction gain is calculated as a quotient between a residual signal from a 2nd-order linear prediction and a residual signal from a 16th-order linear prediction for the audio signal segment. Whether the audio signal segment comprises a pause is determined based at least on the obtained at least one parameter; and a background noise estimate is updated based on the audio signal segment when the audio signal segment comprises a pause.",Stockholm,SE,Telefonaktiebolaget LM Ericsson (publ),"15/818,848",N/A,publ,Telefonaktiebolaget LM Ericsson,['G10L'],1000004137091,"November 21, 2017","[['Martin', 'Sehlstedt', 'Lulea, SE']]","July 9, 2019",Estimation of background noise in audio signals,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=23&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347139,"A flight path planning approach may be deterministic and guarantee a safe, quasi-optimal path. A plurality of three-dimensional voxels may be determined as cells of a rectangular grid. The cells may have a predetermined length and width. A shortest safe path through the grid graph may be calculated from a local start to a local goal defined as points on a nominal global path. Geometric smoothing may be performed on the basis line from the local start to the local goal to generate a smooth three-dimensional trajectory that can be followed by a given rotorcraft. Dynamic smoothing may be performed on the three-dimensional trajectory to provide a maximum possible speed profile over a path defined by the dynamic smoothing. The three dimensional path information may be provided to an autopilot, which may then control the rotorcraft to fly along the defined path.",El Segundo,US,The Aerospace Corporation,"15/348,513",CA,"El Segundo, CA",The Aerospace Corporation,"['G08G', 'G01C', 'G05D']",1000004136975,"November 10, 2016","[['Sylvia', 'Kohn-Rich', 'Manhattan Beach, CA']]","July 9, 2019",Autonomous nap-of-the-earth (ANOE) flight path planning for manned and unmanned rotorcraft,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=24&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347063,"A method includes, receiving a biometric identifier from a visitor to the property, determining an arrival time of the visitor based on receiving the biometric identifier, comparing the arrival time of the visitor to an expected arrival time of an expected visitor, based on comparing the arrival time of the visitor to an expected arrival time, transmitting the biometric identifier and data identifying the expected visitor, receiving, by the monitoring system and from the external server, (i) data indicating that the biometric identifier corresponds to the expected visitor and (ii) data indicating that an electronic device of the expected visitor is located at the property, and based on (i) the data indicating that the biometric identifier corresponds to the expected visitor and (ii) the data indicating that the electronic device of the expected visitor is located at the property, granting, by the monitoring system, the visitor access to the property.",Tysons,US,Alarm.com Incorporated,"15/908,397",VA,"Tysons, VA",Alarm.com Incorporated,['G07C'],1000003227931,"February 28, 2018","[['Nicholas Frank', 'LaRovere', 'Washington, DC'], ['Matthew Daniel', 'Correnti', 'Reston, VA'], ['Abraham Joseph', 'Kinney', 'Vienna, VA']]","July 9, 2019",Authorized smart access to a monitored property,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=25&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347026,"An information processing apparatus includes a display controller that, when position information on a movable object is changed, changes a display size of an image associated with the movable object and displays the image.",Tokyo,JP,"FUJI XEROX CO., LTD.","15/699,361",N/A,"Minato-ku, Tokyo, JP","FUJI XEROX CO., LTD.","['G06T', 'G05B', 'B25J']",1000004136881,"September 8, 2017","[['Kengo', 'Tokuchi', 'Kanagawa, JP']]","July 9, 2019",Information processing apparatus with location based display,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=26&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10347007,"A system and method are provided. The system includes an image capture device configured to capture a video sequence formed from a set of input image frames and including a set of objects. The system further includes a processor configured to detect the objects to form object detections and track the object detections over the input frames to form tracked detections. The processor is also configured to generate for a current input frame, responsive to conditions, a set of sparse object proposals for a current location of an object based on: (i) the tracked detections of the object from an immediately previous input frame; and (ii) detection proposals for the object derived from the current frame. The processor is additionally configured to provide a user perceptible indication of the current location of the object, based on the set of sparse object proposals.",Princeton,US,"NEC Laboratories America, Inc.","15/711,214",NJ,"Tokyo, JP",NEC Corporation,"['G06T', 'B60W', 'G06F', 'G06K', 'G08B', 'G06N']",1000004136864,"September 21, 2017","[['Samuel', 'Schulter', 'Santa Clara, CA'], ['Wongun', 'Choi', 'Lexington, MA'], ['Bharat', 'Singh', 'Hyattsville, MD'], ['Manmohan', 'Chandraker', 'Santa Clara, CA']]","July 9, 2019",Accurate object proposals by tracking detections,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=27&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10346958,"A method for agronomic and agricultural monitoring includes designating an area for imaging, determining a flight path above the designated area, operating an unmanned aerial vehicle (UAV) along the flight path, acquiring images of the area using a camera system attached to the UAV, and processing the acquired images.",San Francisco,US,The Climate Corporation,"15/853,356",CA,"San Francisco, CA",The Climate Corporation,"['G06T', 'A01B', 'G06K', 'G05D', 'B64C']",1000004136822,"December 22, 2017","[['Doug', 'Sauder', 'Tremont, IL'], ['Justin L.', 'Koch', 'Tremont, IL'], ['Troy L.', 'Plattner', 'Tremont, IL'], ['Phil', 'Baurer', 'Tremont, IL']]","July 9, 2019",Methods for agronomic and agricultural monitoring using unmanned aerial systems,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=28&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
